Product ID;Imagen;Nombre;Referencia;Categoría;Precio (imp. excl.);Precio (imp. incl.);Cantidad;Estado;Posición
1516;https://wemmiprofesional.com/img/p/3/2/2/9/3229.jpg;"""Glue foil"" Pegamento para foil 15 ml";Ref. NA-GLUFML;Liquidos;6.487.603;7.85;92;0;
2005;https://wemmiprofesional.com/img/p/4/4/5/0/4450.jpg;6d art decoracion navideña k098;k098;Inicio;1.694.215;2.05;1000;0;
2006;https://wemmiprofesional.com/img/p/4/4/5/2/4452.jpg;6d art decoracion navideña k099;k099;Inicio;1.694.215;2.05;1000;0;
2007;https://wemmiprofesional.com/img/p/4/4/5/4/4454.jpg;6d art decoracion navideña k101;k101;Inicio;1.694.215;2.05;100;0;
2008;https://wemmiprofesional.com/img/p/4/4/5/6/4456.jpg;6d art decoracion navideña k106;k106;Inicio;1.694.215;2.05;1000;0;
2009;https://wemmiprofesional.com/img/p/4/4/5/8/4458.jpg;6d art decoracion navideña k120;k120;Inicio;1.694.215;2.05;1000;0;
2010;https://wemmiprofesional.com/img/p/4/4/6/0/4460.jpg;6d art decoracion navideña k122;k122;Inicio;1.694.215;2.05;1000;0;
2012;https://wemmiprofesional.com/img/p/4/4/6/3/4463.jpg;6d art decoracion navideña k124;k124;Inicio;1.694.215;2.05;998;0;
2013;https://wemmiprofesional.com/img/p/4/4/6/5/4465.jpg;6d art decoracion navideña k125;k125;Inicio;1.694.215;2.05;1000;0;
2014;https://wemmiprofesional.com/img/p/4/4/6/7/4467.jpg;6d art decoracion navideña k126;k126;Inicio;1.694.215;2.05;99;0;
660;https://wemmiprofesional.com/img/p/6/0/5/605.jpg;7 Free Color 1 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;10;0;
669;https://wemmiprofesional.com/img/p/6/0/8/608.jpg;7 Free Color 10 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;9;0;
670;https://wemmiprofesional.com/img/p/6/1/0/610.jpg;7 Free Color 11 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;9;0;
671;https://wemmiprofesional.com/img/p/6/1/3/613.jpg;7 Free Color 12 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
672;https://wemmiprofesional.com/img/p/6/1/4/614.jpg;7 Free Color 13 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
673;https://wemmiprofesional.com/img/p/6/1/6/616.jpg;7 Free Color 14 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
674;https://wemmiprofesional.com/img/p/6/1/8/618.jpg;7 Free Color 15 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
675;https://wemmiprofesional.com/img/p/6/2/0/620.jpg;7 Free Color 16 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
676;https://wemmiprofesional.com/img/p/6/2/4/624.jpg;7 Free Color 17 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
677;https://wemmiprofesional.com/img/p/6/2/6/626.jpg;7 Free Color 18 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;109;0;
678;https://wemmiprofesional.com/img/p/6/2/9/629.jpg;7 Free Color 19 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
661;https://wemmiprofesional.com/img/p/6/0/7/607.jpg;7 Free Color 2 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;59;0;
679;https://wemmiprofesional.com/img/p/6/3/0/630.jpg;7 Free Color 20 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
680;https://wemmiprofesional.com/img/p/6/3/2/632.jpg;7 Free Color 21 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
681;https://wemmiprofesional.com/img/p/6/3/4/634.jpg;7 Free Color 22 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
682;https://wemmiprofesional.com/img/p/1/7/0/6/1706.jpg;7 Free Color 23 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
683;https://wemmiprofesional.com/img/p/6/3/8/638.jpg;7 Free Color 24 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
684;https://wemmiprofesional.com/img/p/6/4/0/640.jpg;7 Free Color 25 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
685;https://wemmiprofesional.com/img/p/6/4/2/642.jpg;7 Free Color 26 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
686;https://wemmiprofesional.com/img/p/6/4/4/644.jpg;7 Free Color 27 secado natural 10 ML;NA-7FREE10ML;Manicura;4.545.455;5.5;9;0;
687;https://wemmiprofesional.com/img/p/6/4/6/646.jpg;7 Free Color 28 secado natural 10 ML;NA-7FREE2810ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
688;https://wemmiprofesional.com/img/p/6/4/8/648.jpg;7 Free Color 29 secado natural 10 ML;NA-7FREE2910ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
662;https://wemmiprofesional.com/img/p/6/5/0/650.jpg;7 Free Color 3 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;6;0;
689;https://wemmiprofesional.com/img/p/6/5/2/652.jpg;7 Free Color 30 secado natural 10 ML;NA-7FREE3010ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
690;https://wemmiprofesional.com/img/p/6/5/4/654.jpg;7 Free Color 31 secado natural 10 ML;NA-7FREE3110ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
691;https://wemmiprofesional.com/img/p/6/5/6/656.jpg;7 Free Color 32 secado natural 10 ML;NA-7FREE3210ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
692;https://wemmiprofesional.com/img/p/6/5/8/658.jpg;7 Free Color 33 secado natural 10 ML;NA-7FREE3310ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
693;https://wemmiprofesional.com/img/p/6/6/0/660.jpg;7 Free Color 34 secado natural 10 ML;NA-7FREE3410ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
694;https://wemmiprofesional.com/img/p/6/6/2/662.jpg;7 Free Color 35 secado natural 10 ML;NA-7FREE3510ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
695;https://wemmiprofesional.com/img/p/6/6/4/664.jpg;7 Free Color 36 secado natural 10 ML;NA-7FREE3610ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
696;https://wemmiprofesional.com/img/p/6/6/6/666.jpg;7 Free Color 37 secado natural 10 ML;NA-7FREE3710ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
697;https://wemmiprofesional.com/img/p/6/6/8/668.jpg;7 Free Color 38 secado natural 10 ML;NA-7FREE3810ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
698;https://wemmiprofesional.com/img/p/6/7/0/670.jpg;7 Free Color 39 secado natural 10 ML;NA-7FREE3910ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
663;https://wemmiprofesional.com/img/p/6/7/2/672.jpg;7 Free Color 4 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;10;0;
699;https://wemmiprofesional.com/img/p/6/7/4/674.jpg;7 Free Color 40 secado natural 10 ML;NA-7FREE4010ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
700;https://wemmiprofesional.com/img/p/6/7/6/676.jpg;7 Free Color 41 secado natural 10 ML;NA-7FREE4110ML;Esmaltes 7 FREE;5.900.000;7.14;99;0;
701;https://wemmiprofesional.com/img/p/6/7/8/678.jpg;7 Free Color 42 secado natural 10 ML;NA-7FREE4210ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
702;https://wemmiprofesional.com/img/p/6/8/0/680.jpg;7 Free Color 43 secado natural 10 ML;NA-7FREE10ML;Esmaltes 7 FREE;5.900.000;7.14;100;0;
